Player,Year,FirstServe,FirstServePointsWon,FirstServeReturnPointsWon,SecondServePointsWon,SecondServeReturnPointsWon,Aces,BreakPointsConverted,BreakPointsFaced,BreakPointsOpportunities,BreakPointsSaved,DoubleFaults,ReturnGamesPlayed,ReturnGamesWon,ReturnPointsWon,ServiceGamesPlayed,ServiceGamesWon,TotalPointsWon,TotalServicePointsWon,Wins,Losses,Winnings,Ranking
Marius Copil,2014,0.6,0.75,0.23,0.52,0.44,126,0.23,61,65,0.7,24,134,0.11,0.32,133,0.86,0.49,0.66,7,7,142633,86
Andreas Seppi,2009,0.6,0.69,0.31,0.49,0.5,212,0.35,397,456,0.57,135,659,0.24,0.39,651,0.74,0.5,0.61,24,31,517844,62
Evgeny Donskoy,2012,0.6,0.65,0.26,0.56,0.4,16,0.36,28,14,0.57,4,48,0.1,0.32,47,0.74,0.47,0.62,0,4,106274,87
Guido Pella,2014,0.6,0.74,0.21,0.52,0.47,33,0.43,49,23,0.69,13,82,0.12,0.31,80,0.81,0.48,0.65,3,4,80118,60
Martin Klizan,2011,0.6,0.52,0.29,0.35,0.45,3,0.31,15,13,0.33,11,18,0.22,0.36,17,0.41,0.4,0.46,2,4,93588,128
Daniel Evans,2012,0.6,0.58,0.31,0.59,0.58,2,0.75,13,4,0.69,2,12,0.25,0.42,12,0.67,0.5,0.59,2,3,19487,994
Denis Kudla,2013,0.6,0.7,0.23,0.51,0.51,58,0.38,123,104,0.63,47,204,0.2,0.34,202,0.78,0.49,0.62,5,11,250001,117
Federico Delbonis,2015,0.6,0.68,0.29,0.49,0.5,110,0.4,257,218,0.57,126,405,0.22,0.37,401,0.72,0.49,0.6,17,20,360186,79
Andrey Kuznetsov,2014,0.6,0.71,0.28,0.48,0.53,89,0.37,121,130,0.6,37,225,0.21,0.37,219,0.78,0.49,0.62,9,8,350143,135
Denis Kudla,2015,0.6,0.69,0.26,0.53,0.48,132,0.45,175,133,0.59,84,304,0.2,0.35,300,0.76,0.49,0.62,8,14,435070,117
Frances Tiafoe,2015,0.6,0.72,0.21,0.47,0.46,54,0.26,52,34,0.6,15,88,0.1,0.31,84,0.75,0.46,0.62,1,5,115268,56
Mikhail Kukushkin,2014,0.6,0.68,0.27,0.51,0.51,154,0.37,319,305,0.62,58,512,0.22,0.37,503,0.76,0.49,0.62,16,27,547266,95
Philipp Kohlschreiber,2012,0.6,0.74,0.28,0.56,0.5,499,0.44,376,424,0.65,126,853,0.22,0.37,853,0.85,0.52,0.67,42,24,1021504,40
Joao Sousa,2012,0.6,0.66,0.31,0.47,0.54,15,0.31,62,77,0.5,22,93,0.26,0.41,95,0.67,0.49,0.58,5,5,121284,64
Henri Laaksonen,2017,0.6,0.74,0.28,0.48,0.49,154,0.41,143,138,0.61,107,255,0.22,0.37,254,0.78,0.5,0.63,11,12,280186,136
Pierre-Hugues Herbert,2017,0.6,0.74,0.24,0.5,0.44,275,0.26,177,162,0.58,122,375,0.11,0.32,369,0.8,0.48,0.64,10,20,548424,82
Peter Polansky,2010,0.6,0.72,0.3,0.54,0.47,30,0.44,38,34,0.63,14,72,0.21,0.36,70,0.8,0.5,0.65,4,4,77093,124
Federico Delbonis,2009,0.6,0.63,0.31,0.48,0.5,2,0.33,7,9,0.29,1,11,0.27,0.39,11,0.55,0.47,0.57,0,1,36547,79
Gilles Muller,2011,0.6,0.8,0.23,0.51,0.41,388,0.39,141,98,0.68,78,333,0.11,0.3,335,0.87,0.5,0.68,17,12,349597,28
Kei Nishikori,2010,0.6,0.67,0.26,0.45,0.48,37,0.22,102,81,0.55,48,145,0.12,0.36,143,0.68,0.47,0.58,3,9,167200,36
James Duckworth,2012,0.6,0.71,0.28,0.47,0.46,36,0.41,38,32,0.61,15,62,0.21,0.35,63,0.76,0.49,0.61,2,3,79693,1051
Viktor Troicki,2010,0.6,0.74,0.32,0.49,0.5,558,0.43,365,445,0.6,177,726,0.27,0.39,721,0.8,0.52,0.64,37,30,801338,70
Horacio Zeballos,2016,0.6,0.72,0.22,0.51,0.42,123,0.37,128,70,0.63,61,235,0.11,0.29,237,0.8,0.47,0.64,7,13,336460,67
Tim Smyczek,2016,0.6,0.69,0.3,0.5,0.47,101,0.42,147,116,0.59,48,235,0.21,0.37,234,0.74,0.49,0.61,8,10,220291,123
Viktor Troicki,2013,0.6,0.71,0.33,0.47,0.47,240,0.39,242,262,0.55,76,430,0.24,0.38,429,0.75,0.5,0.61,19,19,456797,70
Viktor Troicki,2017,0.6,0.73,0.28,0.47,0.49,334,0.37,343,295,0.58,162,596,0.18,0.36,584,0.76,0.49,0.63,24,28,880741,70
Pierre-Hugues Herbert,2013,0.6,0.7,0.26,0.49,0.47,20,0.41,19,17,0.63,10,29,0.24,0.35,28,0.75,0.48,0.62,1,2,91263,82
Nicolas Mahut,2013,0.6,0.78,0.31,0.53,0.47,204,0.41,98,147,0.68,79,267,0.23,0.38,269,0.88,0.53,0.68,17,7,385894,111
Yuki Bhambri,2012,0.6,0.67,0.4,0.53,0.42,4,0.36,7,14,0.14,4,16,0.31,0.41,17,0.65,0.5,0.61,4,2,40820,83
Jeremy Chardy,2016,0.6,0.75,0.3,0.48,0.5,307,0.39,254,285,0.61,195,485,0.23,0.38,480,0.79,0.51,0.64,17,21,656383,84
Guillermo Garcia-Lopez,2010,0.6,0.71,0.29,0.51,0.51,250,0.39,385,389,0.62,185,658,0.23,0.38,662,0.78,0.5,0.63,31,23,630070,68
Pere Riba,2015,0.6,0.7,0.14,0.42,0.34,4,0.0,9,0,0.56,2,14,0.0,0.22,14,0.71,0.41,0.59,0,2,46227,939
Ryan Harrison,2013,0.6,0.71,0.24,0.49,0.46,223,0.37,264,148,0.65,109,399,0.14,0.32,405,0.77,0.48,0.62,11,21,342699,54
Denis Kudla,2014,0.6,0.64,0.32,0.51,0.48,27,0.42,82,53,0.67,20,103,0.21,0.38,100,0.73,0.49,0.59,3,5,168077,117
Ryan Harrison,2015,0.6,0.69,0.24,0.51,0.49,68,0.4,111,77,0.6,45,171,0.18,0.35,169,0.74,0.48,0.62,5,8,210665,54
Steve Johnson,2017,0.6,0.76,0.26,0.51,0.46,410,0.39,286,290,0.63,177,645,0.18,0.34,650,0.84,0.5,0.66,30,22,933229,52
Mikhail Youzhny,2016,0.6,0.67,0.28,0.51,0.53,131,0.38,264,260,0.61,113,409,0.24,0.38,419,0.75,0.5,0.61,17,18,543618,97
Yen-Hsun Lu,2016,0.6,0.73,0.23,0.53,0.5,101,0.38,89,78,0.6,56,171,0.18,0.34,174,0.79,0.5,0.65,7,9,304610,98
Michal Przysiezny,2013,0.6,0.75,0.24,0.5,0.44,178,0.39,143,109,0.62,67,278,0.15,0.32,283,0.81,0.49,0.65,0,2,5754,1134
Jordan Thompson,2014,0.6,0.72,0.29,0.42,0.53,13,0.3,9,10,0.44,7,21,0.14,0.38,21,0.76,0.48,0.6,0,1,50526,99
Andres Molteni,2015,0.6,0.61,0.24,0.37,0.45,1,0.0,7,3,0.43,1,8,0.0,0.32,8,0.5,0.41,0.51,3,4,25157,1180
Laslo Djere,2017,0.6,0.66,0.34,0.56,0.49,27,0.38,76,74,0.62,28,114,0.25,0.39,115,0.75,0.51,0.62,7,5,139601,102
Leonardo Mayer,2009,0.6,0.75,0.28,0.53,0.51,231,0.37,199,249,0.62,91,436,0.21,0.37,435,0.83,0.51,0.66,17,18,293952,46
Lukas Lacko,2012,0.6,0.71,0.27,0.5,0.46,192,0.35,199,195,0.53,62,390,0.17,0.34,382,0.75,0.48,0.63,13,21,380645,106
Leonardo Mayer,2014,0.6,0.75,0.29,0.54,0.49,304,0.38,268,304,0.61,188,596,0.19,0.36,598,0.82,0.51,0.66,28,20,1046234,46
Robin Haase,2011,0.6,0.7,0.31,0.5,0.52,362,0.44,395,380,0.63,134,634,0.26,0.39,635,0.77,0.51,0.62,27,26,509350,44
Robin Haase,2016,0.6,0.73,0.28,0.5,0.47,224,0.35,237,226,0.61,80,421,0.19,0.36,416,0.78,0.49,0.63,16,22,446909,44
David Ferrer,2017,0.6,0.7,0.31,0.51,0.51,119,0.38,371,398,0.62,209,591,0.25,0.39,596,0.76,0.51,0.62,24,21,1046695,32
Yuichi Sugita,2013,0.6,0.58,0.3,0.38,0.55,11,0.42,41,24,0.54,15,37,0.27,0.4,38,0.5,0.45,0.5,2,3,67115,43
Ruben Bemelmans,2012,0.6,0.7,0.25,0.49,0.5,51,0.43,68,49,0.59,33,125,0.17,0.35,122,0.77,0.48,0.62,4,6,136802,108
Ruben Bemelmans,2011,0.6,0.74,0.26,0.5,0.44,18,0.35,36,26,0.67,18,59,0.15,0.32,58,0.79,0.49,0.64,1,5,78299,108
Pablo Cuevas,2014,0.6,0.72,0.29,0.51,0.53,166,0.39,189,234,0.58,90,368,0.25,0.39,365,0.78,0.51,0.64,18,12,528384,41
Michal Przysiezny,2014,0.6,0.71,0.24,0.48,0.46,183,0.37,192,122,0.6,83,306,0.15,0.33,299,0.74,0.47,0.61,4,3,52675,1134
Yen-Hsun Lu,2012,0.6,0.72,0.25,0.5,0.48,142,0.41,197,155,0.58,112,375,0.17,0.35,375,0.78,0.49,0.63,12,18,320315,98
Federico Delbonis,2013,0.6,0.71,0.3,0.53,0.47,66,0.38,137,118,0.66,60,232,0.19,0.36,232,0.8,0.5,0.64,12,8,299012,79
Daniel Evans,2013,0.6,0.7,0.31,0.49,0.55,43,0.48,51,50,0.59,28,84,0.29,0.41,85,0.75,0.51,0.61,6,4,139869,994
Pablo Cuevas,2015,0.6,0.7,0.3,0.52,0.47,310,0.43,385,337,0.65,150,667,0.22,0.37,661,0.8,0.5,0.63,29,26,783081,41
Steve Johnson,2012,0.6,0.75,0.19,0.51,0.41,77,0.33,62,30,0.79,35,106,0.09,0.28,111,0.88,0.48,0.65,3,5,119901,52
Steve Johnson,2015,0.6,0.76,0.26,0.54,0.48,620,0.36,336,385,0.62,175,792,0.18,0.34,807,0.84,0.51,0.67,36,28,928660,52
Mikhail Youzhny,2017,0.6,0.67,0.28,0.48,0.48,112,0.4,265,193,0.62,109,384,0.2,0.36,387,0.74,0.48,0.6,10,20,461711,97
Adam Pavlasek,2017,0.59,0.67,0.3,0.4,0.41,45,0.47,58,32,0.48,23,77,0.19,0.34,78,0.62,0.46,0.56,1,5,182241,210
Alexander Kudryavtsev,2011,0.59,0.77,0.31,0.47,0.41,9,0.6,6,10,0.5,1,18,0.33,0.35,17,0.82,0.5,0.64,1,1,58365,628
Daniel Evans,2016,0.59,0.7,0.28,0.53,0.47,95,0.39,150,130,0.66,81,257,0.2,0.36,254,0.8,0.5,0.63,9,10,390476,994
Thomaz Bellucci,2017,0.59,0.67,0.28,0.52,0.51,158,0.4,238,214,0.54,137,409,0.21,0.37,405,0.73,0.49,0.61,14,20,439418,224
Daniel Evans,2014,0.59,0.72,0.23,0.49,0.54,75,0.37,75,54,0.63,33,132,0.15,0.34,131,0.79,0.48,0.62,4,6,132420,994
Facundo Arguello,2013,0.59,0.61,0.35,0.51,0.5,3,0.36,31,25,0.55,12,36,0.25,0.4,37,0.62,0.49,0.57,0,1,6327,253
Lukas Lacko,2010,0.59,0.73,0.27,0.5,0.47,247,0.35,291,250,0.6,95,508,0.17,0.36,502,0.77,0.49,0.64,19,22,306774,106
Illya Marchenko,2010,0.59,0.69,0.3,0.47,0.52,138,0.39,288,261,0.59,133,431,0.24,0.38,423,0.72,0.49,0.6,18,21,303324,252
Dudi Sela,2015,0.59,0.67,0.27,0.52,0.52,47,0.34,151,119,0.61,48,215,0.19,0.38,216,0.73,0.49,0.6,8,10,312117,94
Dudi Sela,2010,0.59,0.68,0.3,0.5,0.51,70,0.45,209,195,0.52,91,374,0.24,0.38,364,0.73,0.49,0.6,16,20,255594,94
Tomas Berdych,2009,0.59,0.74,0.3,0.53,0.5,388,0.37,361,435,0.61,145,731,0.22,0.38,733,0.81,0.51,0.65,36,26,732540,18
Nikoloz Basilashvili,2014,0.59,0.69,0.27,0.45,0.55,4,0.25,8,8,0.5,5,16,0.13,0.38,15,0.73,0.48,0.59,0,1,53074,80
Mikhail Kukushkin,2016,0.59,0.65,0.28,0.48,0.52,86,0.39,255,189,0.6,40,335,0.22,0.37,328,0.69,0.48,0.58,13,21,418888,95
Jack Sock,2014,0.59,0.76,0.25,0.54,0.47,299,0.42,239,242,0.69,184,545,0.19,0.34,543,0.86,0.51,0.67,27,20,565344,17
Mikhail Kukushkin,2010,0.59,0.68,0.29,0.53,0.53,80,0.45,121,117,0.58,25,212,0.25,0.38,207,0.75,0.5,0.62,17,8,272648,95
Lamine Ouahab,2014,0.59,0.56,0.38,0.36,0.52,0,0.71,11,7,0.36,1,12,0.42,0.44,12,0.42,0.46,0.48,2,1,13810,517
Dominik Koepfer,2017,0.59,0.5,0.18,0.44,0.45,0,0.0,7,1,0.43,3,8,0.0,0.3,7,0.43,0.38,0.48,0,1,30235,230
Adrian Ungur,2013,0.59,0.63,0.17,0.4,0.42,15,0.29,63,14,0.48,32,81,0.05,0.27,82,0.6,0.41,0.54,2,9,200732,548
Daniel Evans,2017,0.59,0.72,0.32,0.48,0.5,100,0.45,150,155,0.55,74,270,0.26,0.39,266,0.75,0.5,0.62,13,12,405917,994
Dusan Lajovic,2010,0.59,0.72,0.29,0.43,0.33,6,0.29,10,7,0.4,3,20,0.1,0.3,19,0.68,0.44,0.6,0,2,17118,93
Guilherme Clezar,2016,0.59,0.66,0.24,0.41,0.52,15,0.43,22,21,0.45,12,32,0.28,0.38,32,0.63,0.46,0.56,0,2,90814,241
Facundo Bagnis,2015,0.59,0.64,0.3,0.52,0.45,20,0.43,43,23,0.53,16,64,0.16,0.35,63,0.68,0.47,0.59,2,4,123931,223
Aslan Karatsev,2013,0.59,0.61,0.23,0.49,0.47,4,0.14,20,14,0.6,6,24,0.08,0.33,23,0.65,0.44,0.56,0,2,28074,541
Evgeny Donskoy,2014,0.59,0.7,0.25,0.52,0.47,68,0.32,77,68,0.57,25,151,0.15,0.34,147,0.78,0.48,0.63,4,9,217202,87
Facundo Bagnis,2015,0.59,0.64,0.3,0.52,0.45,20,0.43,43,23,0.53,16,64,0.16,0.35,63,0.68,0.47,0.59,2,4,123931,223
Noah Rubin,2014,0.59,0.6,0.27,0.46,0.57,1,0.3,22,23,0.45,4,25,0.28,0.4,26,0.54,0.47,0.54,0,2,43866,247
Mikhail Youzhny,2015,0.59,0.67,0.26,0.51,0.46,88,0.37,226,166,0.53,107,362,0.17,0.34,363,0.71,0.47,0.6,9,24,406239,97
Yen-Hsun Lu,2017,0.59,0.73,0.27,0.53,0.51,120,0.37,142,182,0.55,90,291,0.23,0.37,290,0.78,0.5,0.65,9,14,427569,98
Malek Jaziri,2012,0.59,0.69,0.25,0.47,0.48,91,0.32,147,111,0.61,48,217,0.17,0.34,218,0.73,0.47,0.6,6,11,197699,85
John-Patrick Smith,2014,0.59,0.7,0.13,0.47,0.46,7,0.33,12,3,0.58,5,20,0.05,0.28,20,0.75,0.45,0.61,0,2,62337,238
Mitchell Krueger,2017,0.59,0.65,0.27,0.49,0.54,26,0.35,33,31,0.58,15,47,0.23,0.37,48,0.71,0.48,0.59,1,3,130819,219
Mikhail Kukushkin,2012,0.59,0.63,0.31,0.52,0.5,79,0.43,214,181,0.53,43,324,0.24,0.38,322,0.69,0.48,0.58,12,15,311080,95
Yen-Hsun Lu,2010,0.59,0.7,0.26,0.51,0.49,187,0.35,254,215,0.62,110,433,0.17,0.35,425,0.77,0.49,0.62,15,20,479533,98
Benjamin Becker,2014,0.59,0.74,0.27,0.49,0.49,330,0.37,315,340,0.6,156,622,0.2,0.35,618,0.79,0.5,0.64,27,26,618388,1051
Filip Krajinovic,2014,0.59,0.73,0.27,0.54,0.49,42,0.39,41,49,0.61,7,81,0.23,0.36,79,0.8,0.51,0.65,7,4,168738,27
Christian Garin,2013,0.59,0.74,0.28,0.59,0.45,6,0.2,10,15,0.7,7,23,0.13,0.34,23,0.87,0.51,0.68,2,4,14717,216
Jeremy Chardy,2009,0.59,0.75,0.26,0.52,0.47,536,0.36,349,393,0.62,202,743,0.19,0.35,732,0.82,0.5,0.65,35,28,592911,84
Di Wu,2010,0.59,0.59,0.23,0.33,0.47,1,1.0,5,1,0.0,2,8,0.13,0.3,9,0.44,0.4,0.48,0,0,3154,249
Richard Gasquet,2009,0.59,0.73,0.29,0.52,0.5,265,0.34,249,291,0.62,121,463,0.22,0.38,464,0.8,0.51,0.64,22,15,394186,34
Jeremy Chardy,2014,0.59,0.77,0.27,0.5,0.5,507,0.39,369,377,0.63,241,782,0.19,0.36,769,0.82,0.5,0.66,33,27,921069,84
Matthew Ebden,2013,0.59,0.72,0.28,0.44,0.44,84,0.32,117,106,0.53,85,183,0.19,0.35,183,0.7,0.48,0.61,6,11,213660,78
Frank Dancevic,2014,0.59,0.7,0.22,0.48,0.45,57,0.33,67,42,0.55,31,115,0.12,0.31,115,0.74,0.46,0.61,3,8,195150,328
Marinko Matosevic,2013,0.59,0.69,0.29,0.48,0.52,158,0.4,289,288,0.55,109,464,0.25,0.39,467,0.72,0.5,0.6,18,25,470613,338
Marinko Matosevic,2014,0.59,0.71,0.28,0.49,0.5,240,0.38,344,286,0.63,131,543,0.2,0.37,547,0.76,0.5,0.62,22,22,474814,338
Marinko Matosevic,2015,0.59,0.65,0.27,0.46,0.45,70,0.36,154,101,0.53,66,221,0.16,0.34,219,0.67,0.46,0.57,3,16,224774,338
Zhe Li,2012,0.59,0.52,0.09,0.4,0.55,0,1.0,10,1,0.5,1,8,0.13,0.3,8,0.38,0.39,0.47,0,1,23520,333
Edward Corrie,2013,0.59,0.69,0.22,0.41,0.56,2,0.25,14,4,0.86,5,11,0.09,0.3,11,0.82,0.46,0.58,0,1,26436,426
Steve Johnson,2014,0.59,0.75,0.25,0.52,0.45,321,0.33,201,205,0.62,96,484,0.14,0.33,487,0.84,0.49,0.66,19,20,499818,52
Alexandr Dolgopolov,2015,0.59,0.74,0.3,0.52,0.51,355,0.41,298,343,0.6,145,637,0.22,0.38,629,0.81,0.51,0.65,26,26,740971,53
Rhyne Williams,2012,0.59,0.76,0.18,0.5,0.52,16,0.13,14,8,0.57,4,31,0.03,0.29,29,0.79,0.46,0.65,0,0,7670,1443
Frances Tiafoe,2017,0.59,0.71,0.27,0.53,0.48,194,0.39,147,161,0.52,74,332,0.19,0.35,329,0.79,0.49,0.63,7,17,499300,56
Ryan Harrison,2017,0.59,0.72,0.27,0.49,0.47,313,0.38,289,256,0.63,142,494,0.19,0.35,498,0.78,0.49,0.63,19,23,780131,54
Ryan Harrison,2016,0.59,0.75,0.26,0.53,0.48,177,0.4,150,134,0.65,72,287,0.19,0.35,290,0.82,0.5,0.66,11,11,360724,54
Konstantin Kravchuk,2010,0.59,0.68,0.31,0.55,0.48,20,0.2,18,20,0.67,5,27,0.15,0.38,29,0.79,0.5,0.63,1,2,68402,323
Ryan Harrison,2014,0.59,0.7,0.27,0.48,0.43,93,0.37,112,81,0.58,59,198,0.15,0.33,199,0.76,0.47,0.61,5,13,213068,54
Mischa Zverev,2012,0.59,0.61,0.33,0.46,0.49,19,0.34,43,29,0.58,11,42,0.24,0.38,42,0.57,0.47,0.55,0,3,90283,55
Philipp Kohlschreiber,2013,0.59,0.75,0.28,0.56,0.49,359,0.39,312,331,0.66,97,697,0.19,0.35,691,0.85,0.51,0.67,32,25,1021927,40
Peter Gojowczyk,2012,0.59,0.57,0.33,0.43,0.48,4,0.44,17,9,0.47,4,20,0.2,0.38,20,0.55,0.45,0.51,0,1,72412,50
Marinko Matosevic,2011,0.59,0.66,0.27,0.44,0.46,46,0.36,89,72,0.47,33,135,0.19,0.35,133,0.65,0.46,0.57,2,10,122590,338
Albano Olivetti,2016,0.59,0.84,0.14,0.6,0.49,56,0.0,13,1,0.85,17,36,0.0,0.25,35,0.94,0.5,0.74,1,2,24846,349
Daniil Medvedev,2016,0.59,0.7,0.35,0.48,0.51,54,0.35,68,105,0.59,20,119,0.31,0.41,118,0.76,0.51,0.61,5,5,150271,49
Igor Sijsling,2014,0.59,0.72,0.27,0.48,0.5,221,0.4,234,214,0.58,91,426,0.2,0.36,422,0.77,0.49,0.62,10,28,482900,391
Igor Sijsling,2015,0.59,0.68,0.27,0.48,0.46,71,0.37,118,86,0.61,49,178,0.18,0.34,172,0.73,0.47,0.6,3,10,200761,391
Reda El Amrani,2017,0.59,0.76,0.33,0.42,0.36,8,0.27,11,11,0.64,13,20,0.15,0.34,22,0.82,0.49,0.62,4,2,10708,1182
Robin Haase,2017,0.59,0.73,0.29,0.51,0.5,394,0.37,353,393,0.6,160,660,0.22,0.37,657,0.79,0.5,0.64,28,30,1036254,44
Robin Haase,2015,0.59,0.69,0.26,0.5,0.45,175,0.43,230,185,0.54,87,439,0.18,0.34,433,0.76,0.48,0.62,15,21,434629,44
Robin Haase,2012,0.59,0.72,0.29,0.47,0.5,235,0.39,257,276,0.53,99,480,0.23,0.37,474,0.75,0.49,0.61,19,28,441876,44
Robin Haase,2010,0.59,0.75,0.29,0.5,0.43,119,0.32,128,116,0.63,55,227,0.16,0.34,225,0.79,0.49,0.64,9,12,225791,44
Denis Shapovalov,2017,0.59,0.75,0.26,0.54,0.45,203,0.31,124,141,0.63,98,290,0.15,0.33,291,0.84,0.5,0.66,12,13,762665,45
Ivan Dodig,2015,0.59,0.74,0.3,0.51,0.49,165,0.38,115,139,0.58,57,245,0.22,0.37,240,0.8,0.5,0.64,38,16,730581,407
Yoshihito Nishioka,2015,0.59,0.6,0.26,0.54,0.51,14,0.32,66,75,0.52,18,98,0.24,0.38,98,0.67,0.47,0.57,3,5,184356,366
Leonardo Mayer,2012,0.59,0.74,0.26,0.5,0.46,178,0.37,189,155,0.65,106,362,0.16,0.34,362,0.82,0.49,0.64,14,14,311278,46
Ivan Dodig,2014,0.59,0.75,0.29,0.49,0.48,322,0.37,217,246,0.6,131,447,0.2,0.36,451,0.81,0.5,0.65,30,22,443092,407
Ivan Dodig,2011,0.59,0.71,0.28,0.49,0.48,372,0.4,332,277,0.6,151,577,0.19,0.36,579,0.77,0.49,0.62,12,18,78760,407
Michal Przysiezny,2009,0.59,0.72,0.18,0.56,0.43,9,0.67,7,3,0.57,1,16,0.13,0.28,16,0.81,0.47,0.66,0,0,1659,1134
Philipp Kohlschreiber,2016,0.59,0.73,0.3,0.52,0.5,261,0.37,286,363,0.62,117,565,0.24,0.38,567,0.81,0.51,0.65,32,21,915346,40
Matthew Ebden,2014,0.59,0.69,0.26,0.39,0.45,114,0.4,221,138,0.5,162,306,0.18,0.33,311,0.64,0.45,0.57,5,21,310452,78
Marco Chiudinelli,2010,0.59,0.7,0.26,0.51,0.47,158,0.36,276,222,0.59,135,471,0.17,0.34,473,0.76,0.48,0.62,14,29,319954,464
Horacio Zeballos,2014,0.59,0.73,0.23,0.52,0.45,64,0.37,89,71,0.6,29,175,0.15,0.31,179,0.8,0.48,0.64,7,9,153716,67
Kevin Anderson,2016,0.59,0.77,0.23,0.52,0.47,493,0.32,208,198,0.66,167,473,0.14,0.32,475,0.85,0.5,0.67,17,21,636954,8
Santiago Giraldo,2016,0.59,0.7,0.29,0.5,0.48,103,0.41,162,135,0.59,39,275,0.2,0.37,269,0.75,0.49,0.62,11,14,311876,293
Franko Skugor,2011,0.59,0.62,0.32,0.43,0.43,8,0.33,33,15,0.64,6,33,0.15,0.36,33,0.64,0.45,0.54,0,3,40025,292
Austin Krajicek,2016,0.59,0.71,0.26,0.48,0.46,97,0.36,84,67,0.56,54,153,0.16,0.33,151,0.75,0.47,0.62,4,9,153657,291
Ante Pavic,2013,0.59,0.79,0.35,0.35,0.41,4,0.5,5,4,0.4,6,11,0.18,0.38,10,0.7,0.48,0.61,0,1,21726,288
Viktor Troicki,2011,0.59,0.73,0.34,0.47,0.5,466,0.42,422,463,0.61,143,705,0.28,0.4,698,0.76,0.51,0.62,40,26,896119,70
Daniel Altmaier,2017,0.59,0.74,0.22,0.47,0.43,40,0.35,34,20,0.62,15,62,0.11,0.3,60,0.78,0.47,0.63,2,3,54906,316
Lukas Rosol,2012,0.59,0.74,0.26,0.51,0.45,252,0.42,223,173,0.64,109,437,0.16,0.33,440,0.82,0.49,0.64,19,18,344242,284
Viktor Troicki,2009,0.59,0.71,0.3,0.45,0.5,392,0.44,457,368,0.63,147,641,0.25,0.38,627,0.73,0.49,0.6,32,29,694759,70
Roberto Carballes Baena,2014,0.59,0.6,0.33,0.49,0.55,10,0.54,58,46,0.59,21,71,0.35,0.43,71,0.66,0.5,0.56,3,3,82563,75
Daniel Munoz de la Nava,2009,0.59,0.82,0.3,0.35,0.44,9,0.46,10,13,0.2,6,23,0.26,0.36,24,0.67,0.49,0.63,0,2,64938,274
Daniel Gimeno-Traver,2010,0.59,0.72,0.27,0.52,0.45,247,0.33,279,256,0.65,124,506,0.17,0.34,493,0.8,0.49,0.64,18,25,389302,272
Vasek Pospisil,2014,0.59,0.75,0.26,0.52,0.46,392,0.37,236,229,0.62,160,529,0.16,0.33,537,0.83,0.5,0.66,20,23,632565,77
Matthew Ebden,2015,0.59,0.72,0.24,0.5,0.47,50,0.47,55,38,0.65,35,100,0.18,0.33,101,0.81,0.48,0.63,1,6,191054,78
Marco Chiudinelli,2014,0.59,0.69,0.23,0.49,0.47,18,0.43,34,23,0.65,9,53,0.19,0.33,54,0.78,0.48,0.61,0,4,109432,464
Nicolas Jarry,2015,0.59,0.73,0.23,0.61,0.45,36,0.25,24,16,0.75,14,42,0.1,0.31,42,0.86,0.5,0.68,3,2,41741,65
Rajeev Ram,2010,0.59,0.72,0.24,0.47,0.39,244,0.34,149,85,0.52,79,296,0.1,0.3,289,0.75,0.46,0.62,14,19,97405,1054
Reda El Amrani,2011,0.59,0.72,0.31,0.52,0.37,15,0.36,12,11,0.83,5,20,0.2,0.33,17,0.88,0.47,0.64,3,2,28540,1182
Borna Coric,2013,0.59,0.66,0.19,0.36,0.49,1,0.4,11,5,0.45,3,14,0.14,0.32,14,0.57,0.44,0.54,0,2,18700,39
Aljaz Bedene,2017,0.59,0.75,0.29,0.52,0.49,293,0.38,204,255,0.57,75,465,0.21,0.36,462,0.81,0.51,0.66,19,18,609483,58
Yaraslav Shyla,2015,0.59,0.72,0.14,0.2,0.37,5,0.0,6,3,0.33,4,8,0.0,0.27,8,0.5,0.39,0.51,0,0,8435,444
Maxime Authom,2013,0.59,0.69,0.26,0.5,0.5,4,0.56,12,9,0.67,6,20,0.25,0.36,19,0.79,0.49,0.61,0,1,74579,448
Borna Coric,2015,0.59,0.69,0.26,0.5,0.49,185,0.37,356,321,0.58,119,627,0.19,0.36,611,0.75,0.49,0.62,26,28,667986,39
Tim Puetz,2015,0.59,0.76,0.2,0.38,0.39,12,0.33,14,6,0.64,8,19,0.11,0.28,18,0.72,0.45,0.6,0,0,5641,310
Karen Khachanov,2014,0.59,0.6,0.22,0.42,0.45,9,0.4,27,5,0.56,7,26,0.08,0.32,26,0.54,0.43,0.53,0,3,32035,38
Jan-Lennard Struff,2015,0.59,0.75,0.27,0.45,0.44,204,0.35,162,133,0.57,105,310,0.15,0.33,307,0.77,0.48,0.63,5,19,311633,61
Juan Martin del Potro,2010,0.59,0.73,0.28,0.46,0.53,91,0.31,61,74,0.61,28,114,0.2,0.37,113,0.79,0.49,0.62,3,3,95273,6
Jan-Lennard Struff,2013,0.59,0.71,0.25,0.49,0.53,85,0.38,93,96,0.56,53,171,0.21,0.37,173,0.76,0.49,0.62,4,9,236353,61
Andreas Seppi,2013,0.59,0.71,0.29,0.49,0.51,287,0.39,415,439,0.59,168,739,0.23,0.38,733,0.77,0.5,0.62,30,29,929964,62
